t(ticks) ; id_viat ; destin ; t_estacion ;  t_vida  ; observ
7599856  ; 14698   ; O      ; 10         ; ?        ; cheio
7599959  ; 14691   ; E      ; 60         ; 34629    ; saiu
7602977  ; 14696   ; E      ; 90         ; ?        ; entrou
7604363  ; 14717   ; E      ; 50         ; ?        ; cheio
7604305  ; 14701   ; E      ; 70         ; ?        ; entrou
7605033  ; 14718   ; N      ; 30         ; ?        ; cheio
7606353  ; 14701   ; E      ; 70         ; 20105    ; saiu
7609111  ; 14700   ; S      ; 90         ; ?        ; entrou
7610262  ; 14700   ; S      ; 90         ; 24598    ; saiu
7609110  ; 14714   ; O      ; 20         ; ?        ; cheio
7607425  ; 14696   ; E      ; 90         ; 15793    ; saiu
7616441  ; 14726   ; N      ; 50         ; ?        ; entrou
7617271  ; 14726   ; N      ; 50         ; 4113     ; saiu
7619288  ; 14727   ; N      ; 40         ; ?        ; entrou
7620501  ; 14727   ; N      ; 40         ; 6864     ; saiu
7622871  ; 14694   ; O      ; 90         ; ?        ; entrou
7623200  ; 14725   ; S      ; 90         ; ?        ; cheio
7625199  ; 14731   ; N      ; 100        ; ?        ; entrou
7626547  ; 14721   ; O      ; 100        ; ?        ; cheio
7624238  ; 14694   ; O      ; 90         ; 19941    ; saiu
7626548  ; 14731   ; N      ; 100        ; 7773     ; saiu
7629265  ; 14735   ; O      ; 10         ; ?        ; cheio
7629250  ; 14736   ; E      ; 10         ; ?        ; entrou
7630976  ; 14737   ; E      ; 80         ; ?        ; entrou
7627979  ; 14734   ; N      ; 60         ; ?        ; entrou
7630999  ; 14736   ; E      ; 10         ; 7051     ; saiu
7632160  ; 14734   ; N      ; 60         ; 10776    ; saiu
7633380  ; 14737   ; E      ; 80         ; 7815     ; saiu
7636812  ; 14739   ; E      ; 60         ; ?        ; entrou
7637720  ; 14739   ; E      ; 60         ; 8795     ; saiu
7640398  ; 14743   ; S      ; 70         ; ?        ; entrou
7640971  ; 14743   ; S      ; 70         ; 4141     ; saiu
7646495  ; 14747   ; S      ; 50         ; ?        ; cheio
7646480  ; 14745   ; N      ; 90         ; ?        ; entrou
7649928  ; 14741   ; O      ; 80         ; ?        ; cheio
