t(ticks) ; nlug ; id_viat ; observ
6669686  ; 0    ; 12266   ; saiu
6687882  ; 1    ; 12282   ; entrou
6688384  ; 1    ; 12283   ; cheio
6688858  ; 0    ; 12282   ; saiu
6689101  ; 1    ; 12284   ; entrou
6689822  ; 0    ; 12284   ; saiu
6690127  ; 1    ; 12281   ; entrou
6690955  ; 1    ; 12285   ; cheio
6692034  ; 0    ; 12281   ; saiu
6702872  ; 1    ; 12287   ; entrou
6703578  ; 0    ; 12287   ; saiu
6719609  ; 1    ; 12316   ; entrou
6720044  ; 0    ; 12316   ; saiu
6792341  ; 1    ; 12449   ; entrou
6793462  ; 0    ; 12449   ; saiu
6803325  ; 1    ; 12450   ; entrou
6803437  ; 1    ; 12451   ; cheio
6803561  ; 0    ; 12450   ; saiu
6808078  ; 1    ; 12465   ; entrou
6808390  ; 0    ; 12465   ; saiu
6813480  ; 1    ; 12472   ; entrou
6813958  ; 0    ; 12472   ; saiu
6831138  ; 1    ; 12464   ; entrou
6831934  ; 0    ; 12464   ; saiu
6842229  ; 1    ; 12506   ; entrou
6842961  ; 0    ; 12506   ; saiu
6851070  ; 1    ; 12501   ; entrou
6851277  ; 1    ; 12494   ; cheio
6851389  ; 0    ; 12501   ; saiu
6853680  ; 1    ; 12510   ; entrou
6853842  ; 1    ; 12508   ; cheio
6854132  ; 1    ; 12509   ; cheio
6856918  ; 0    ; 12510   ; saiu
6863278  ; 1    ; 12523   ; entrou
6863743  ; 0    ; 12523   ; saiu
6867516  ; 1    ; 12554   ; entrou
6868288  ; 0    ; 12554   ; saiu
6869002  ; 1    ; 12527   ; entrou
6869010  ; 1    ; 12530   ; cheio
6869455  ; 0    ; 12527   ; saiu
6869096  ; 1    ; 12531   ; entrou
6870561  ; 1    ; 12525   ; cheio
6871690  ; 0    ; 12531   ; saiu
6873509  ; 1    ; 12562   ; entrou
6874980  ; 0    ; 12562   ; saiu
6877449  ; 1    ; 12526   ; entrou
6877561  ; 0    ; 12526   ; saiu
6901677  ; 1    ; 12564   ; entrou
6901776  ; 1    ; 12568   ; cheio
6902710  ; 0    ; 12564   ; saiu
6904289  ; 1    ; 12565   ; entrou
6904710  ; 0    ; 12565   ; saiu
6919152  ; 1    ; 12617   ; entrou
6920233  ; 0    ; 12617   ; saiu
6921446  ; 1    ; 12616   ; entrou
6921956  ; 0    ; 12616   ; saiu
6924150  ; 1    ; 12620   ; entrou
6925039  ; 0    ; 12620   ; saiu
6925926  ; 1    ; 12622   ; entrou
